State,White,fips
Alabama,0.671440324,US01
Alaska,0.63645863,US02
Arizona,0.479240639,US04
Arkansas,0.720558986,US05
California,0.390776742,US06
Colorado,0.712593495,US08
Connecticut,0.699161175,US09
Delaware,0.645525726,US10
District of Columbia,0.372028779,US11
Florida,0.578225564,US12
Georgia,0.56256868,US13
Hawaii,0.172560273,US15
Idaho,0.842980105,US16
Illinois,0.650334639,US17
Indiana,0.822058606,US18
Iowa,0.850497488,US19
Kansas,0.772315367,US20
Kentucky,0.850052906,US21
Louisiana,0.599904722,US22
Maine,0.9532902,US23
Maryland,0.497349051,US24
Massachusetts,0.749360445,US25
Michigan,0.748677992,US26
Minnesota,0.833898554,US27
Mississippi,0.572140223,US28
Missouri,0.814536933,US29
Montana,0.89088105,US30
Nebraska,0.800419819,US31
Nevada,0.523771234,US32
New Hampshire,0.929049254,US33
New Jersey,0.592233122,US34
New Mexico,0.395685328,US35
New York,0.582944363,US36
North Carolina,0.603963421,US37
North Dakota,0.830810045,US38
Ohio,0.802668297,US39
Oklahoma,0.648367969,US40
Oregon,0.766878775,US41
Pennsylvania,0.779752499,US42
Rhode Island,0.756572991,US44
South Carolina,0.653143348,US45
South Dakota,0.876684271,US46
Tennessee,0.747774839,US47
Texas,0.411879731,US48
Utah,0.827778354,US49
Vermont,0.930644838,US50
Virginia,0.641532333,US51
Washington,0.707981766,US53
West Virginia,0.933858202,US54
Wisconsin,0.835601332,US55
Wyoming,0.864990737,US56
