State,Race,Population
Alabama,White,3192900
Alabama,Black,1252100
Alabama,Hispanic,227200
Alabama,Other,83100
Alaska,White,445400
Alaska,Black,22000
Alaska,Hispanic,59200
Alaska,Other,173200
Arizona,White,3189300
Arizona,Black,289000
Arizona,Hispanic,2501300
Arizona,Other,675300
Arkansas,White,2119200
Arkansas,Black,458100
Arkansas,Hispanic,239300
Arkansas,Other,124500
California,White,14894200
California,Black,2078100
California,Hispanic,14832900
California,Other,6309100
Colorado,White,3772600
Colorado,Black,187700
Colorado,Hispanic,1085900
Colorado,Other,248100
Connecticut,White,2478900
Connecticut,Black,383000
Connecticut,Hispanic,401200
Connecticut,Other,282400
Delaware,White,586100
Delaware,Black,172600
Delaware,Hispanic,96800
Delaware,Other,52400
District of Columbia,White,242100
District of Columbia,Black,308200
District of Columbia,Hispanic,58100
District of Columbia,Other,42300
Florida,White,11205700
Florida,Black,3037700
Florida,Hispanic,4302100
Florida,Other,833900
Georgia,White,5505900
Georgia,Black,2958900
Georgia,Hispanic,753000
Georgia,Other,569300
Hawaii,White,236400
Hawaii,Black,22900
Hawaii,Hispanic,161600
Hawaii,Other,949000
Idaho,White,1341800
Idaho,Black,12200
Idaho,Hispanic,181000
Idaho,Other,56700
Illinois,White,8322500
Illinois,Black,1752900
Illinois,Hispanic,1965600
Illinois,Other,756200
Indiana,White,5264400
Indiana,Black,610300
Indiana,Hispanic,382100
Indiana,Other,147100
Iowa,White,2611700
Iowa,Black,91800
Iowa,Hispanic,192400
Iowa,Other,174900
Kansas,White,2193900
Kansas,Black,161700
Kansas,Hispanic,239500
Kansas,Other,245600
Kentucky,White,3715800
Kentucky,Black,337200
Kentucky,Hispanic,166700
Kentucky,Other,151600
Louisiana,White,2708500
Louisiana,Black,1428800
Louisiana,Hispanic,240900
Louisiana,Other,136700
Maine,White,1250900
Maine,Black,17800
Maine,Hispanic,13700
Maine,Other,29700
Maryland,White,2956700
Maryland,Black,1701500
Maryland,Hispanic,574400
Maryland,Other,712300
Massachusetts,White,4942200
Massachusetts,Black,427000
Massachusetts,Hispanic,706100
Massachusetts,Other,520000
Michigan,White,7373100
Michigan,Black,1331500
Michigan,Hispanic,395800
Michigan,Other,747800
Minnesota,White,4506900
Minnesota,Black,290700
Minnesota,Hispanic,267900
Minnesota,Other,339200
Mississippi,White,1670700
Mississippi,Black,1079200
Mississippi,Hispanic,73600
Mississippi,Other,0
Missouri,White,4891300
Missouri,Black,697300
Missouri,Hispanic,182100
Missouri,Other,234300
Montana,White,892800
Montana,Black,6200
Montana,Hispanic,21400
Montana,Other,0
Nebraska,White,1476600
Nebraska,Black,65900
Nebraska,Hispanic,221300
Nebraska,Other,0
Nevada,White,1445800
Nevada,Black,224400
Nevada,Hispanic,795300
Nevada,Other,294900
New Hampshire,White,1224200
New Hampshire,Black,15200
New Hampshire,Hispanic,32100
New Hampshire,Other,46200
New Jersey,White,5240800
New Jersey,Black,1051400
New Jersey,Hispanic,1711600
New Jersey,Other,845500
New Mexico,White,830900
New Mexico,Black,40800
New Mexico,Hispanic,934500
New Mexico,Other,293800
New York,White,11377900
New York,Black,2549300
New York,Hispanic,3362800
New York,Other,2228000
North Carolina,White,5821500
North Carolina,Black,2063800
North Carolina,Hispanic,902800
North Carolina,Other,850700
North Dakota,White,591000
North Dakota,Black,11000
North Dakota,Hispanic,29100
North Dakota,Other,0
Ohio,White,9212500
Ohio,Black,1392000
Ohio,Hispanic,437900
Ohio,Other,434900
Oklahoma,White,2413500
Oklahoma,Black,281700
Oklahoma,Hispanic,370300
Oklahoma,Other,656900
Oregon,White,3022500
Oregon,Black,72500
Oregon,Hispanic,413600
Oregon,Other,432700
Pennsylvania,White,9949000
Pennsylvania,Black,1294200
Pennsylvania,Hispanic,863500
Pennsylvania,Other,652500
Rhode Island,White,793100
Rhode Island,Black,44400
Rhode Island,Hispanic,155700
Rhode Island,Other,55000
South Carolina,White,3059300
South Carolina,Black,1273600
South Carolina,Hispanic,214800
South Carolina,Other,136200
South Dakota,White,732700
South Dakota,Black,16000
South Dakota,Hispanic,19500
South Dakota,Other,0
Tennessee,White,4827400
Tennessee,Black,1008200
Tennessee,Hispanic,411500
Tennessee,Other,208600
Texas,White,10882900
Texas,Black,3058400
Texas,Hispanic,10801600
Texas,Other,1679700
Utah,White,2382500
Utah,Black,38800
Utah,Hispanic,309400
Utah,Other,147500
Vermont,White,577000
Vermont,Black,7100
Vermont,Hispanic,11100
Vermont,Other,24800
Virginia,White,5248200
Virginia,Black,1523900
Virginia,Hispanic,702500
Virginia,Other,706100
Washington,White,4858400
Washington,Black,245900
Washington,Hispanic,739000
Washington,Other,1019000
West Virginia,White,1711300
West Virginia,Black,59700
West Virginia,Hispanic,30600
West Virginia,Other,30900
Wisconsin,White,4706200
Wisconsin,Black,322400
Wisconsin,Hispanic,411400
Wisconsin,Other,192100
Wyoming,White,501400
Wyoming,Black,0
Wyoming,Hispanic,49600
Wyoming,Other,23000
