"Title: Population Distribution by Gender",,,,
"Timeframe: 2013",,,,
"Notes: See http://kff.org/other/state-indicator/distribution-by-gender/ for notes and sources.",,,,
Location,Male,Female,Total
"United States",153596500,159799000,313395400
Alabama,2284700,2470500,4755200
Alaska,355100,344800,699900
Arizona,3322000,3332800,6654800
Arkansas,1444800,1496300,2941100
California,18858400,19255900,38114300
Colorado,2672400,2621800,5294200
Connecticut,1720200,1825300,3545500
Delaware,431800,476100,907900
"District of Columbia",309000,341700,650700
Florida,9391500,9987900,19379400
Georgia,4688600,5098600,9787100
Hawaii,682400,687500,1369900
Idaho,786700,805000,1591700
Illinois,6296000,6501200,12797300
Indiana,3093300,3310600,6404000
Iowa,1528100,1542600,3070800
Kansas,1405200,1435500,2840600
Kentucky,2159300,2212000,4371300
Louisiana,2167900,2347000,4514900
Maine,640700,671500,1312200
Maryland,2899900,3045100,5945000
Massachusetts,3165900,3429400,6595300
Michigan,4840200,5007900,9848100
Minnesota,2688200,2716400,5404600
Mississippi,1398800,1521200,2920000
Missouri,2956200,3048800,6005100
Montana,498300,503900,1002200
Nebraska,912900,931900,1844800
Nevada,1371700,1388700,2760400
"New Hampshire",654900,662800,1317700
"New Jersey",4316900,4532300,8849300
"New Mexico",1057000,1043000,2100000
"New York",9460800,10057300,19518100
"North Carolina",4611500,5027300,9638800
"North Dakota",357400,353900,711300
Ohio,5623400,5853900,11477300
Oklahoma,1784400,1938000,3722400
Oregon,1957900,1983400,3941300
Pennsylvania,6290600,6468600,12759200
"Rhode Island",511900,536400,1048300
"South Carolina",2241300,2442600,4683900
"South Dakota",418400,417400,835800
Tennessee,3145300,3310300,6455600
Texas,13122400,13300100,26422500
Utah,1430200,1448000,2878200
Vermont,305600,314500,620000
Virginia,4000100,4180600,8180700
Washington,3379700,3482600,6862300
"West Virginia",900600,932000,1832500
Wisconsin,2760800,2871300,5632100
Wyoming,295100,284500,579600
